-OR-,-SAU-
Payment Applicable From,Plata aplicabila de la
Payment Refund initiated by merchant,Rambursarea platii a fost initiata de comerciant
Payment has been declined. Please try again.,"Plata a fost refuzata. Va rugam, reincercati."
Payment transactions disallow storing objects.,Tranzactiile de plata nu permit stocarea obiectelor.
Payments Advanced,Plati avansate
Payments Advanced (Includes Express Checkout),Plati avansate (Include Express Checkout)
Payments Pro (Includes Express Checkout),Plati Pro (Include Express Checkout)
Payments Pro Hosted Solution,Plati Pro Hosted Solution
Payments Pro and Express Checkout,Plati Pro si Finalizare Expres
Payments Standard,Plati Standard
Payments by PayPal (150 X 40),Plati prin PayPal (150 X 40)
Payments by PayPal (150 X 60),Plati prin PayPal (150 X 60)
Pending PayPal,PayPal in asteptare
Place Order,Plaseaza comanda
Please agree to all the terms and conditions before placing the order.,"Va rugam, acceptati toti termenii si conditiile inainte de face o comanda."
Please do not refresh the page until you complete payment.,"Va rugam, nu reimprospatati pagina inainte de finalizarea platii."
Please re-enable the previously enabled payment solutions.,"Va rugam, reactivati solutiile de plata anterior activate."
Please select a shipping method...,Alege o metoda de livrare...
"Please select region, state or province","Va rugam, selectati o regiune, stat sau judet"
Please update order data to get shipping methods and rates,"Va rugam, actualizati datele comenzii pentru a obtine metode de livrare si cursuri"
Points Incentive Redemption,Compensarea punctelor bonus
Postage Payment to either USPS or UPS,Plata tarifelor postale catre USPS sau UPS
"Preapproved Payment (BillUser API), either sent or received","Plata preaprobata (BillUser API), fie trimisa fie primita"
Preapproved Payment ID,ID Plata preaprobata
Price,Pret
Pro,Pro
Process payments using your own internet merchant account.,Procesati plati folosind propriul dumneavoastra cont de comerciant.
Product Name,Nume produs
Proxy Host,Proxy Host
Proxy Port,Proxy Port
Qty,Cantitate
Reauthorization,Reautorizare
Reference Information,Informatii de referinta
Refund issued by merchant.,Rambursare emisa de comerciant.
Reimbursement for a chargeback.,Rambursarea platii
Reimbursement of Chargeback,Rambursarea platii
Report Date,Date raport
Reports,Rapoarte
Require CVV Entry,Necesita intrare CVV
Require Customer's Billing Address,Ncesita adresa de facturare a clientului
Required PayPal Settings,Setari PayPal necesare
Required Settings,Setari necesare
Reversal,Inversare
Reversal of General Account Hold,Reversal of General Account Hold
Reversal of Points Usage,Inversarea utilizarii punctelor
Reversal of an adjustment.,Inversarea unei ajustari.
Reversal of hold for Dispute Investigation,Reversal of hold for Dispute Investigation
Review Order,Revizuieste comanda
Reward Voucher Redemption,Compensarea voucher-ului recompensa
SFTP Credentials,Acreditari SFTP
Sale,Vanzare
Sales,Vanzari
Same as shipping,La fel ca livrarea
Sandbox Credentials,Acreditari Sandbox
Sandbox Mode,Mod Sandbox
Schedule,Program
Schedule description is too long.,Descrierea programului este prea lunga.
Scheduled Fetching,Recuperare programata
Select a Payment Solution,Selectati o solutie de plata
Send Email Confirmation,Trimite e-mail de confirmare
Server Error. Please try again.,"Eroare server. Va rugam, reincercati."
Settlement Consolidation,Consolidarea acordului
Settlement Report Settings,Setari raport acord
Settlement of a chargeback.,Acord pentru returnarea platii
Severe 3D Secure Card Validation,Validare card sever securizata 3D
Severe Validation Removes Chargeback Liability on Merchant,Validarea severa inlatura obligatiile de returnare a platii ale comerciantului
Severe validation removes chargeback liability on merchant.,Validarea severa inlatura obligatiile de returnare a platii ale comerciantului.
Shipping,Livrare
Shipping Address,Adresa livrare
Shipping Method,Metoda livrare
Shop now using (150 X 40),Cumpara acum folosind (150 X 40)
Shop now using (150 X 60),Cumpara acum folosind (150 X 60)
Shortcut,Scurtatura
Shortcut Buttons Flavor,Shortcut Buttons Flavor
Shortcut on Product View,Scurtatura pe Vizualizare Produs
Shortcut on Shopping Cart,Scurtatura pe Cos de Cumparaturi
Sign a billing agreement to streamline further purchases with PayPal.,Semnati un acord de facturare pentru a rationaliza cu PayPal viitoarele achizitionari.
Solo,Solo
Some PayPal solutions conflict.,Unele solutii PayPal sunt in conflict.
"Sorry, no quotes are available for this order at this time.","Ne pare rau, o oferta pentru aceasta comanda este imposibila momentan."
Sort Order,Sortare Comanda
Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.,Specifica perioada de onoare a autorizatiei de pe contul PayPal al comerciantului.Trebuie sa reflecte setarea din PayPal.
Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.,Specifica perioada de valabilitate a comenzii de pe contul PayPal al comerciantului.Trebuie sa reflecte setarea din PayPal.
State/Province,Judet
Static,Static
Street Address,Adresa strada
Street Address %s,Adresa strada%s
Submitting order information...,Se trimit informatiile comenzii...
Subscriber name is too long.,Numele abonatului este prea lung.
Subscription ID,ID Abonament
"Subscription Payment, either payment sent or payment received","Plata abonamentului, fie plata trimisa fie plata primita"
Subtotal,Subtotal
Summary Text for Aggregated Cart,Sumar pentru ansamblul cosului de cumparaturi
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Acceptarea cardurilor American Express necesita un acord aditional. Afla mai multe pe <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
Switch/Maestro,Switch/Maestro
Telephone,Telefon
Test Mode,Mod Test
The background color for the checkout page around the header and payment form.,Culoarea de fundal pentru pagina de finalizare si din jurul antetului si al formularului de plata.
The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.,Culoarea de fundal a antetului de pe pagina de finalizare. Cod culori hexazecimal HTML de 6 caractere insensibil la majuscule in ASCII.
The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.,Numarul standard de autorizatii secundare din contul PayPal este 1. Pentru a efectua autorizatii multiple va rugam contactati PayPal pentru a solicita o marire.
The following error(s) occured:,Au aparut urmatoarele erori:
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Imaginea din stanga-sus a paginii de finalizare. Marimea maxima este de 750x90-pixeli. <strong style=""culoarea:rosu"">https</strong> este recomandata."
The maximum number of child authorizations is reached.,Numarul maxim de autorizatii secundare a fost atins.
The merchant account is not yet verified.,Contul de comerciant nu a fost inca verificat.
The payment curency does not match any of the merchant\'s balances currency.,Valuta platii nu se potriveste cu nici una dintre valutele comerciantului.
The payment eCheck is not yet cleared.,eCheck-ul platii nu a fost inca achitat.
The payment is authorized but not settled.,Plata este autorizata dar nu este achitata.
The payment is pending because it was made to an email address that is not yet registered or confirmed.,Plata este in asteptare deoarece a fost facuta catre un e-mail care nu este inca inregistrat sau confirmat.
The payment is pending while it is being reviewed by PayPal for risk.,Plata este in asteptare in timp ce este reviziuita de PayPal pentru detectarea riscurilor.
The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.,Plata a fost facuta prin card de credit. Pentru a primi fonduri comerciantul trebuie sa faca upgrade stari contului la Business sau Premier. 
There is already another PayPal solution enabled. Enable this solution instead?,Exista deja o alta solutie PayPal activata. Activati aceasta solutie in locul ei?
There was an error processing your order. Please contact us or try again later.,A aparut o eroare in timpul procesarii comenzii. Va rugam sa ne contactati sau sa incercati mai tarziu.
This feature needs be enabled first for the merchant account through PayPal technical support.,Aceasta optiune trebuie intai sa fie activata penrtu contul de comerciant prin suportul tehnic PayPal.
This operation requires an existing transaction object.,Aceasta operatiune necesita un obiect de tranzactie existent.
Time of Day,Timpul zilei
Title,Titlu
Transaction ID,ID tranzactie
Transaction ID must not be empty.,Id-ul tranzactiei nu trebuie sa fie gol.
Transaction Information,Informatii tranzactie
Transfer Cart Line Items,Transfera articolele din cos
Transfer Shipping Options,Transfera optiunile de livrare
Triggered Fraud Filters,Filtre de frauda declansata
URL method for Cancel URL and Return URL,Metoda URL pentru Anuleaza URL si Returneaza URL
Unable to cancel Express Checkout.,Nu s-a putut anula Express Checkout.
Unable to change status. Current status is not correspond to real status.,Nu s-a putut schimba starea. Starea curenta nu corespunde cu starea reala.
Unable to communicate with the PayPal gateway.,Nu se poate comunica cu gateway-ul PayPal.
Unable to initialize Express Checkout review.,Nu se poate initializa revizuirea finalizarii expres.
Unable to initialize Express Checkout.,Nu se poate initializa finalizarea expres.
Unable to place the order.,Nu se poate plasa comanda.
Unable to process Express Checkout approval.,Nu s-a putut procesa aprobarea finalizarii expres.
Unable to start Express Checkout.,Nu s-a putut incepe finalizarea expres.
Unable to update Order data.,Nu s-au putut actualiza datele comenzii.
Unable to update shipping method.,Nu s-a putut actualiza metoda de livrare.
Unknown Error. Please try again later.,"Eroare necunoscuta. Va rugam, incercati mai tarziu."
Unknown reason. Please contact PayPal customer service.,"Motiv necunoscut. Va rugam, contactati servicii clienti PayPal."
Update Order Data,Actualizeaza datele comenzii
Use Proxy,Foloseste Proxy
"Use colon to specify port. For example: ""test.example.com:5224"".","Folositi doua puncte pentru a specifica portul. De exemplu: ""test.exemplu.com:5224""."
User,Utilizator
User-initiated Currency Conversion,Conversie valuta initiata de utilizator
Uses store frontend name by default.,Se foloseste numele partii client ca standard.
VAT Number,Numar VAT
Vendor,Vanzator
View,Vizualizare
View Demo,Vizualizare Demo
View Transaction,Vizualizare tranzactie
View Transaction Details,Vizualizare detalii tranzactie
Virtual PayPal Debit Card Transaction,Tranzactie card debit PayPal virtual
Virtual Terminal Payment,Plata terminal virtual
Void,Anuleaza
We prefer PayPal (150 X 40),Noi preferam PayPal (150 X 40)
We prefer PayPal (150 X 60),Noi preferam PayPal (150 X 60)
Website Payments Plus,Plati Plus pe site
Website Payments Pro (Includes Express Checkout),Plati Pro pe site (include Express Checkout)
Website Payments Pro Hosted Solution,Website Payments Pro Hosted Solution
Website Payments Pro Hosted Solution (Includes Express Checkout),Website Payments Pro Hosted Solution (include Express Checkout)
Website Payments Pro Hosted Solution and Express Checkout,Website Payments Pro Hosted Solution and Express Checkout
Website Payments Pro Payflow Edition (Includes Express Checkout),Plati Pro pe site editia Payflow (include Express Checkout)
Website Payments Pro Payflow Edition and Express Checkout,Plati Pro pe site editia Payflow si Finalizare Expres
Website Payments Pro and Express Checkout,Plati Pro pe site si Express Checkout
Website Payments Standard,Plati pe site standard
Website Payments Standard Payment,Website Payments Standard Payment
What is PayPal?,Ce este PayPal?
"Whether to create a billing agreement, if there are no active billing agreements available.","Daca sa se creeze un acord de facturare, daca nu exista acorduri de facturare active disponibile."
Will appear as a payment option only for customers who have at least one active billing agreement.,Va aparea ca o optiune de plata doar clientilor care au cel putin un acord de facturare activ.
WorldLink Withdrawal,Retragere WorldLink
Would you like to sign a billing agreement to streamline further purchases with PayPal?,Ati dori semnati un acord de facturare pentru a rationaliza cu PayPal viitoarele achizitionari?
Wrong PayPal Express Checkout Token specified.,Jetonul de Express Checkout PayPal specificat nu este corect
Yes,Da
Yes. Matched Address and five-didgit ZIP,Da. Adresa si codul postal corespund
You cannot void a verification transaction,Nu puteti anula o tranzactie de verificare
You will be redirected to the PayPal website in a few seconds.,Veti fi redirectionat catre site-ul PayPal in cateva secunde.
You will be redirected to the PayPal website when you place an order.,Veti fi redirectionat catre site-ul PayPal cand plasati o comanda.
You will be redirected to the PayPal website.,Veti fi redirectionat catre site-ul PayPal.
You will be required to enter your payment details after you place an order.,Va fi necesara introducerea detaliilor de plata dupa ce plasati o comanda.
Zip/Postal Code,Cod Postal
eBay Auction Payment,Plata licitatie eBay
Update Shipping Method,Actualizeaza metoda de livrare
Your billing address will be ignored and you will be redirected to PayPal UK website,Adresa dumneavoastra de facturare va fi ignorata si veti fi redirectionat catre site-ul PayPal UK
Please select a valid shipping method,Alege o metoda de livrare valida
Amex,Amex
API User Name,Nume utilizator API
Authorize and Capture,Autorizeaza si preia
Card Verification Number,Numar verificare card
What is this?,Ce e asta?
Business Account,Cont firma
Credit Card Number,Numar card credit
Credit Card Number: xxxx-%s,Numar card credit: xxxx-%s
Credit Card Type,Tip card credit
Credit Card Type: %s,Tip card credit: %s
Credit Card Types,Tipuri card credit
Start Date,Data inceperii
Debug Flag,Pavilion de depanare / Depaneaza pavilion
Discover,Descopera
Error in creating an invoice,Eroare la crearea unei facturi
Error in refunding the payment,Eroare la rambursarea platii
Expiration Date,Data de expirare
Expiration Date: %s/%s,Data de expirare: %s/%s
Invoice ,Factura 
Place an Order,Finalizeaza comanda
Billing Information,Informatii facturare
Shipping Information,Informatii livrare
Invalid transaction id,ID tranzactie nevalid
Issue Number,Numar de emitere
MasterCard,MasterCard
Business Name,Nume firma
Name on Card,Numele de pe card
Name on the Card: %s,Numele de pe card: %s
Order total amount does not match paypal gross total amount,Suma totala de pe comanda nu corespunde cu suma totala bruta de pe PayPal
Sort order,Ordine de sortare
Payment from applicable countries,Plata din tarile acceptate
Payment from Specific countries,Plata din anumite tari
Payment Method,Metoda de plata
PayPal Accounts,Conturi PayPal
Paypal Checkout,Paypal Checkout
PayPal Direct (Website Payments Pro),PayPal Direct (Website Payments Pro)
PayPal Email,E-mail PayPal E-mail
Paypal Express (Website Payments Pro),Paypal Express (Website Payments Pro)
Paypal IPN Invalid.,IPN Paypal nevalid.
Paypal Logo Image URL(150x150),URL imagine sigla Paypal(150x150)
PayPal Standard (Website Payments Standard),PayPal Standard (Website Payments Standard)
PayPal Uk Account,Cont PayPal Uk
Problem during communication with PayPal,Problema in comunicarea cu PayPal
Received IPN verification,Verificarea IPN a fost primita.
Sandbox Flag,Pavilion Sandbox
Change Shipping Address,Schimba adresa de livrare
Change Payment Method,Schimba metoda de plata
Selected currency code (,Cod valuta selectat (
New order status,Stare comanda noua
Switch/Solo card issue number: %s,Numar de emitere card Switch/Solor: %s
Switch/Solo card start Date: %s/%s,Data inceperii cardului Switch/Solo: %s/%s
Switch/Solo Only,Numai Switch/Solo
There has been an error processing your payment. Please try later or contact us for help.,A aparut o eroare in timpul procesarii comenzii. Va rugam sa ne contactati sau sa incercati mai tarziu.
There was an error connecting to the Paypal server: %s,A aparut o eroare in timpul conectarii la serverul PayPal: %s
There was an error during communication with Paypal: %s - %s,A aparut o eroare in timpul comunicarii la serverul PayPal: %s - %s
Type,Tip
Transaction Type,Tip tranzactie
Unknown PayPal API error: %s,Eroare API PayPal necunoscuta: %s
You will be redirected to paypal in a few seconds.,Veti fi redirectionat catre Paypal in cateva secunde.
Visa,Visa
"Website Payments Pro (Express, Direct)","Website Payments Pro (Expres, Direct)"
"120 x 240","120 x 240"
"120 x 600","120 x 600"
"120 x 90","120 x 90"
"190 x 100","190 x 100"
"234 x 400","234 x 400"
"234 x 60","234 x 60"
"250 x 250","250 x 250"
"300 x 50","300 x 50"
"468 x 60","468 x 60"
"728 x 90","728 x 90"
"800 x 66","800 x 66"
"A case that has been resolved and close requires a reimbursement.","Un caz care a fost rezolvat si inchis necesita returnarea banilor."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Aceasta tranzactie a fost inversata datorita unei dispute creata de client ce suspecteaza un spoof."
"A reversal has occurred on this transaction because you have given the customer a refund.","Aceasta tranzactie a fost inversata pentru ca ati oferit clientului banii inapoi."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Aceasta tranzactie a fost inversata datorita unei stornari cerute de client."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Aceasta tranzactie a fost inversata datorita unei plangeri de la clientul dumneavoastra."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Aceasta tranzactie a fost inversata datorita faptului ca acest client a folosit clauza de garantare a returnarii banilor."
"Advertise Paypal Credit","Promoveaza Paypal Credit"
"Authorization expired.","Autorizare expirata."
"Authorization was voided by merchant.","Autorizarea a fost anulata de comerciant."
"Buyer claims that a possible duplicate payment was made to the merchant.","Cumparatorul sustine ca o plata duplicata a fost facuta catre comerciant."
"Buyer claims that he did not receive goods or service.","Cumparatorul sustine ca nu a primit produsele sau serviciile."
"Buyer claims that he/she did not authorize transaction.","Cumparatorul sustine ca nu a autorizat tranzactia."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Cumparatorul sustine ca bunurile sau serviciile primite nu corespund descrierii de la comerciant."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Cumparatorul sustine ca bunurile primite sunt defecte, nesatisfacatoare sau stricate."
"Catalog Category Page","Pagina categorie"
"Catalog Product Page","Pagina produs"
"Checkout Cart Page","Pagina cos de cumparaturi"
"Checkout with PayPal Paypal Credit","Checkout cu PayPal Paypal Credit"
Complaint,Complaint
"Customer failed to pay.","Clientul nu a platit."
"Customer used non-confirmed address.","Clientul a folosit o adresa neconfirmata."
Display,Afiseaza
"Display on Product Details Page","Afiseaza pe pagina detalii de produs"
"Display on Shopping Cart","Afiseaza in cos de cumparaturi"
Dispute,Disputa
Edit,Modificare
"Edit Payment Information","Modificati informatii plata"
"Enable Paypal Credit","Activati Paypal Credit"
"Explanation: %s.","Explicatie: %s."
"Get Publisher ID from PayPal","Obtineti Publisher ID de la PayPal"
"Header (center)","Header (centru)"
"Home Page","Pagina principala"
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Ne pare rau dar nu putem finaliza tranzactia dumneavoastra - va rugam contactati-ne pentru asistenta."
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Ne pare rau dar nu putem procesa plata. Va rugam incercati o alta metoda de plata sau contactati-ne pentru asistenta."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s Suma tranzactie %s. ID tranzactie: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". O disputa a fost rezolvata si inchisa. %s Suma tranzactie %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Tip caz ""%s"". ID caz ""%s"" %s"
"IPN verification ""%s"".","Verificare IPN ""%s""."
"Merchant account doesn\'t have a withdrawal mechanism. Merchant must manually accept or deny this payment from your Account Overview.","Contul comerciantului nu are o metoda de retragere. Comerciantul trebuie sa accepte sau sa refuze plata manual din Detalii Cont."
"Merchant account is not verified.","Contul comerciantului nu este verificat."
"Merchant denied this pending payment.","Comerciantul a refuzat aceasta plata."
"Merchant must upgrade account to Business or Premier status.","Comerciantul trebuie sa isi modifice contul in Business sau Premier."
"Mobile Optimized","Optimizat pentru mobil"
"Multi-currency issue. Merchant must manually accept or deny this payment from PayPal Account Overview.","Problema cu monezi multiple. Comerciantul trebuie sa accepte sau refuze plata manual din PayPal Account Overview."
"Near Paypal Credit checkout button","Langa butonul Paypal Credit checkout"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment is being reviewed by PayPal for risk.","Plata este evaluata de PayPal din punct de vedere al riscului."
"Payment was made to an email address that is not yet registered or confirmed.","Plata a fost facuta catre o adesa de email neinregistrata sau neconfirmata."
"Payments Standard (Includes Express Checkout)","Payments Standard (include Express Checkout)"
"Please contact PayPal Customer Service.","Va rugam contactati serviciul clienti PayPal."
Position,Pozitie
Product,Produs
"Publisher ID","ID publisher"
"Refunded amount of %s. Transaction ID: ""%s""","Returnat suma de %s. ID tranzactie: ""%s"""
"Requested %s and configured %s merchant emails do not match.","Adresa de email ceruta %s si cea configurata de comerciant %s nu se potrivesc."
"Required to display a banner","Obligatoriu pentru a afisa un banner"
"Sidebar (right)","Sidebar (dreapta)"
Size,Marime
"Skip Order Review Step","Sariti peste pasul de revizuirea comenzii"
"To proceed to Checkout, please log in using your email address.","Pentru a merge la checkout, va rugam sa va logati folosind adresa dvs de email."
"Transaction ID: ""%s""","ID tranzactie: ""%s"""
"Transaction reversal by PayPal administrators.","Inversare tranzactie facuta de administratorii PayPal."
"Transaction reversal due to fraud detected by PayPal administrators.","Inversare tranzactie facuta de administratorii PayPal din cauza detectarii undei fraude"
"Waiting until Customer\'s eCheck will be cleared.","Se asteapta aprobarea eCheck-ului clientului."
"Website Payments Standard (Includes Express Checkout)","Website Payments Standard (include Express Checkout)"
"Wrong Order ID (%s) specified.","ID-uld de comanda specificat (%s) este gresit."
"Yes (PayPal recommends this option)","Da (PayPal recomanda aceasta optiune)"
"chargeback reimbursed","stornare oferita"
"chargeback settled","stornare reusita"
"customer complaint","client complaint"
"customer triggered a chargeback","clientul a cerut stornare"
"customer triggered money-back guarantee","clientul a cerut clauza de bani inapoi garantat"
"merchant refunded payment","comerciantul a returnat plata"
"no reason","fara motiv"
"reversal of an adjustment","inversare a unei ajustari"
"unknown reason","motiv necunoscut"
